ax,ay,az,gx,gy,gz,target,target_name
0.1,0.08,9.71,-0.01,-0.05,-0.07,0.0,quiet
0.14,-0.07,9.64,-0.0,-0.06,-0.06,0.0,quiet
0.12,-0.1,9.6,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.04,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.09,0.0,9.7,-0.01,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.66,-0.02,-0.05,-0.05,0.0,quiet
0.14,-0.02,9.69,-0.01,-0.06,-0.06,0.0,quiet
0.1,-0.02,9.64,-0.01,-0.06,-0.06,0.0,quiet
0.09,-0.04,9.64,-0.02,-0.05,-0.05,0.0,quiet
0.08,-0.01,9.68,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.0,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.03,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.02,9.61,-0.02,-0.05,-0.06,0.0,quiet
0.1,-0.01,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.1,-0.03,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.01,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,0.0,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.13,-0.01,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.04,9.66,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.03,9.64,-0.02,-0.05,-0.06,0.0,quiet
0.11,0.0,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.61,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.03,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.02,9.65,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.03,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.09,-0.02,9.62,-0.02,-0.05,-0.06,0.0,quiet
0.1,-0.02,9.65,-0.02,-0.05,-0.05,0.0,quiet
0.12,-0.02,9.63,-0.02,-0.05,-0.06,0.0,quiet
0.11,-0.03,9.67,-0.02,-0.05,-0.06,0.0,quiet
0.12,-0.04,9.66,-0.02,-0.05,-0.06,0.0,quiet
